081735923.box.freepro.com|Jaguar Network SAS
45.90.29.204|nextdns, Inc.
45.90.29.207|nextdns, Inc.
45.90.29.209|nextdns, Inc.
45.90.29.20|nextdns, Inc.
45.90.29.211|nextdns, Inc.
45.90.29.212|nextdns, Inc.
45.90.29.214|nextdns, Inc.
45.90.29.215|nextdns, Inc.
45.90.29.217|nextdns, Inc.
45.90.29.223|nextdns, Inc.
45.90.29.225|nextdns, Inc.
45.90.29.229|nextdns, Inc.
45.90.29.233|nextdns, Inc.
45.90.29.234|nextdns, Inc.
45.90.29.237|nextdns, Inc.
45.90.29.23|nextdns, Inc.
45.90.29.244|nextdns, Inc.
45.90.29.245|nextdns, Inc.
45.90.29.246|nextdns, Inc.
45.90.29.248|nextdns, Inc.
45.90.29.250|nextdns, Inc.
45.90.29.251|nextdns, Inc.
45.90.29.25|nextdns, Inc.
45.90.29.27|nextdns, Inc.
45.90.29.31|nextdns, Inc.
45.90.29.33|nextdns, Inc.
45.90.29.35|nextdns, Inc.
45.90.29.36|nextdns, Inc.
45.90.29.38|nextdns, Inc.
45.90.29.44|nextdns, Inc.
45.90.29.47|nextdns, Inc.
45.90.29.50|nextdns, Inc.
45.90.29.57|nextdns, Inc.
45.90.29.62|nextdns, Inc.
45.90.29.63|nextdns, Inc.
45.90.29.67|nextdns, Inc.
45.90.29.69|nextdns, Inc.
45.90.29.71|nextdns, Inc.
45.90.29.75|nextdns, Inc.
45.90.29.76|nextdns, Inc.
45.90.29.77|nextdns, Inc.
45.90.29.79|nextdns, Inc.
45.90.29.7|nextdns, Inc.
45.90.29.85|nextdns, Inc.
45.90.29.86|nextdns, Inc.
45.90.29.88|nextdns, Inc.
45.90.29.8|nextdns, Inc.
45.90.29.90|nextdns, Inc.
45.90.29.91|nextdns, Inc.
45.90.29.93|nextdns, Inc.
45.90.29.96|nextdns, Inc.
45.90.29.98|nextdns, Inc.
45.90.29.99|nextdns, Inc.
45.90.31.102|nextdns, Inc.
45.90.31.124|nextdns, Inc.
45.90.31.125|nextdns, Inc.
45.90.31.127|nextdns, Inc.
45.90.31.128|nextdns, Inc.
45.90.31.148|nextdns, Inc.
45.90.31.14|nextdns, Inc.
45.90.31.151|nextdns, Inc.
45.90.31.160|nextdns, Inc.
45.90.31.165|nextdns, Inc.
45.90.31.16|nextdns, Inc.
45.90.31.172|nextdns, Inc.
45.90.31.179|nextdns, Inc.
45.90.31.17|nextdns, Inc.
45.90.31.182|nextdns, Inc.
45.90.31.184|nextdns, Inc.
45.90.31.185|nextdns, Inc.
45.90.31.188|nextdns, Inc.
45.90.31.199|nextdns, Inc.
45.90.31.19|nextdns, Inc.
45.90.31.203|nextdns, Inc.
45.90.31.210|nextdns, Inc.
45.90.31.213|nextdns, Inc.
45.90.31.218|nextdns, Inc.
45.90.31.220|nextdns, Inc.
45.90.31.221|nextdns, Inc.
45.90.31.222|nextdns, Inc.
45.90.31.232|nextdns, Inc.
45.90.31.234|nextdns, Inc.
45.90.31.235|nextdns, Inc.
45.90.31.240|nextdns, Inc.
45.90.31.247|nextdns, Inc.
45.90.31.253|nextdns, Inc.
45.90.31.25|nextdns, Inc.
45.90.31.2|nextdns, Inc.
45.90.31.31|nextdns, Inc.
45.90.31.35|nextdns, Inc.
45.90.31.3|nextdns, Inc.
45.90.31.41|nextdns, Inc.
45.90.31.43|nextdns, Inc.
45.90.31.44|nextdns, Inc.
45.90.31.48|nextdns, Inc.
45.90.31.59|nextdns, Inc.
45.90.31.69|nextdns, Inc.
45.90.31.73|nextdns, Inc.
45.90.31.74|nextdns, Inc.
45.90.31.9|nextdns, Inc.
45.91.92.121|HostHatch, LLC
46.101.126.246|DigitalOcean, LLC
46.102.157.110|Hohl IT e.U.
46.17.107.180|First Server Limited
46.213.forpsi.net|INTERNET CZ, a.s.
46.22.220.49|Aktsiaselts WaveCom
46.226.108.173|GANDI SAS
46.227.200.54|Faelix Limited
46.38.234.60|netcup GmbH
47.100.218.41|Hangzhou Alibaba Advertising Co.,Ltd. China.
47.103.151.215|Hangzhou Alibaba Advertising Co.,Ltd. China.
47.103.166.50|Hangzhou Alibaba Advertising Co.,Ltd. China.
47.103.166.51|Hangzhou Alibaba Advertising Co.,Ltd. China.
47.103.166.52|Hangzhou Alibaba Advertising Co.,Ltd. China.
47.103.166.53|Hangzhou Alibaba Advertising Co.,Ltd. China.
47.103.166.56|Hangzhou Alibaba Advertising Co.,Ltd. China.
47.103.18.1|Hangzhou Alibaba Advertising Co.,Ltd. China.
47.106.39.115|Alibaba Cloud. China
47.108.0.45|Hangzhou Alibaba Advertising Co.,Ltd. China.
47.108.0.57|Hangzhou Alibaba Advertising Co.,Ltd. China.
47.108.0.58|Hangzhou Alibaba Advertising Co.,Ltd. China.
47.108.130.22|Hangzhou Alibaba Advertising Co.,Ltd. China.
47.241.168.38|Alibaba (US) Technology Co., Ltd. China.
47.242.185.96|Alibaba (US) Technology Co., Ltd. China.
47.243.107.132|Alibaba (US) Technology Co., Ltd. China.
47.244.3.29|Alibaba (US) Technology Co., Ltd. China.
47.254.160.160|Alibaba (US) Technology Co., Ltd. China.
47.254.160.161|Alibaba (US) Technology Co., Ltd. China.
47.254.64.251|Alibaba (US) Technology Co., Ltd. China.
47.75.120.215|Alibaba (US) Technology Co., Ltd. China.
49.229.0.115|Super Broadband Network
49.229.0.46|Super Broadband Network
5.1.32.212|Prisco Electronica S.L.
5.1.32.33|Prisco Electronica S.L.
5.1.84.150|meerfarbig GmbH & Co. KG
5.2.72.7|Liteserver
5.2.72.7|The Infrastructure Group B.V.
5.2.75.75|The Infrastructure Group B.V.
5.59.130.114|Timer, LLC
5.61.37.171|Leaseweb Deutschland GmbH
5.79.100.76|LeaseWeb Netherlands B.V.
51-158-147-92.rev.poneytelecom.eu|ONLINE S.A.S.
51.140.100.181|Microsoft Corporation
51.140.186.154|Microsoft Corporation
51.140.47.46|Microsoft Corporation
51.158.147.92|Scaleway
51.158.66.31|SCALEWAY S.A.S.
51.159.67.129|SCALEWAY S.A.S.
51.75.162.101|OVH SAS
51.81.81.178|OVH SAS
51.83.134.179|OVH Sp. z o. o
51.83.70.82|AdGuard OVH SAS
51.91.144.101|OVH SAS
52.63.91.105|Amazon Technologies Inc
54.229.171.243|Smart DNS Proxy
54.79.3.18|Amazon Technologies Inc. (EC2)
54.90.232.69|Amazon Technologies Inc. (EC2)
56.70.66.34.bc.googleusercontent.com|Google LLC
60.205.126.114|Hangzhou Alibaba Advertising Co.,Ltd. China.
61-222-113-98.hinet-ip.hinet.net|Data Communication Business Group
61.148.33.140|China Unicom Beijing Province Network. Warning: Don't use.
62.84.27.109.rev.sfr.net|Societe Francaise Du Radiotelephone - SFR SA
63.116.30.36|Conduent Business Services, LLC
64.120.5.251|LeaseWeb USA, Inc. Seattle
64.176.188.144|The Constant Company, LLC
64.20.34.50|Interserver, Inc
64.64.248.141.16clouds.com|Fiber Logic Inc.
67.230.170.194.16clouds.com|IT7 Networks Inc
67.230.177.135.16clouds.com|IT7 Networks Inc
68.183.70.223|DigitalOcean, LLC
68.95.199.107|AT&T Services, Inc.
70.36.170.126|Sonic.net, LLC
71.19.251.34|eSecureData
72.44.207.101|Reliance Steel and Aluminum Co.
72.44.68.88|MULTACOM CORPORATION
75.75.77.23|Comcast Cable Communications, LLC
75.75.77.24|Comcast Cable Communications, LLC
75.75.77.25|Comcast Cable Communications, LLC
75.75.77.28|Comcast Cable Communications, LLC
75.75.77.2|Comcast Cable Communications, LLC
75.75.77.31|Comcast Cable Communications, LLC
75.75.77.32|Comcast Cable Communications, LLC
75.75.77.36|Comcast Cable Communications, LLC
75.75.77.4|Comcast Cable Communications, LLC
75.75.77.5|Comcast Cable Communications, LLC
75.75.77.6|Comcast Cable Communications, LLC
76.76.10.0|CONTROLD INC.
76.76.10.103|CONTROLD INC.
76.76.10.119|CONTROLD INC.
76.76.10.133|CONTROLD INC.
76.76.10.134|CONTROLD INC.
76.76.10.13|CONTROLD INC.
76.76.10.157|CONTROLD INC.
76.76.10.188|CONTROLD INC.
76.76.10.197|CONTROLD INC.
76.76.10.225|CONTROLD INC.
76.76.10.234|CONTROLD INC.
76.76.10.243|CONTROLD INC.
76.76.10.248|CONTROLD INC.
76.76.10.255|CONTROLD INC.
76.76.10.33|CONTROLD INC.
76.76.10.60|CONTROLD INC.
76.76.10.66|CONTROLD INC.
76.76.10.87|CONTROLD INC.
76.76.10.89|CONTROLD INC.
76.76.10.96|CONTROLD INC.
76.76.2.11|CONTROLD INC.
76.76.2.16|CONTROLD INC.
76.76.2.215|CONTROLD INC.
76.76.2.227|CONTROLD INC.
76.76.2.248|CONTROLD INC.
76.76.2.254|CONTROLD INC.
76.76.2.27|CONTROLD INC.
76.76.2.28|CONTROLD INC.
76.76.2.30|CONTROLD INC.
76.76.2.34|CONTROLD INC.
76.76.2.47|CONTROLD INC.
76.76.2.53|CONTROLD INC.
76.76.2.55|CONTROLD INC.
76.76.2.57|CONTROLD INC.
76.76.2.67|CONTROLD INC.
76.76.2.73|CONTROLD INC.
76.76.2.85|CONTROLD INC.
77.223.128.220|Netdirekt A.S.
77.72.223.25|PFALZKOM GmbH
77.88.8.78|Yandex LLC
77.88.8.8|Yandex
78.128.99.220|DA International Group Ltd.
78.47.163.141|Hetzner Online GmbH
79.110.170.43|Lasagna Ltd
79.137.195.60|Aeza Group LLC
79.143.181.69|Contabo GmbH
8.129.77.255|Hangzhou Alibaba Advertising Co.,Ltd. China.
8.131.52.117|Hangzhou Alibaba Advertising Co.,Ltd. China.
8.208.2.64|Alibaba (US) Technology Co., Ltd. China.
8.208.2.65|Alibaba (US) Technology Co., Ltd. China.
8.210.73.205|Alibaba (US) Technology Co., Ltd. China.
8.224.34.74|I-Evolve Technology Services
8.238.212.91.rev.sfr.net|Avions Transport Regional
8.8.4.4|Google LLC
8.8.8.8|Google LLC
80.124.140.158|Societe Francaise Du Radiotelephone - SFR SA
80.124.140.240|Societe Francaise Du Radiotelephone - SFR SA
80.125.161.101|Societe Francaise Du Radiotelephone - SFR SA
80.149.229.107|Deutsche Telekom AG
80.251.201.59|Hi3G Access AB
80.251.201.7|Hi3G Access AB
81-7-14-252.blue.kundencontroller.de|ISPpro Internet KG
81.236.54.163|Telia Company AB
81.236.54.167|Telia Company AB
82-148-223-159.network.unet.nl|Eurofiber UNET
82-148-223-195.network.unet.nl|Eurofiber UNET
82-64-163-190.subs.proxad.net|Free SAS
82-64-205-253.subs.proxad.net|Free SAS
82.118.227.235|DA International Group Ltd.
82.165.108.24|IONOS SE
82.165.167.96|IONOS SE
82.221.128.44|Icenetworks Ltd
82.65.209.69|Proxad / Free SAS
82.66.195.182|Proxad / Free SAS
83.69.169.222|New-Com Trade Ltd. Russia
83.69.169.69|New-Com Trade Ltd. Russia
83.69.229.35.bc.googleusercontent.com|Google LLC
85-206-156-199.static.zebra.lt|Telia Lietuva, AB
85.19.227.35.bc.googleusercontent.com|Google LLC
85.202.163.84|RadioBotsEU UG (haftungsbeschrankt)
87.106.168.61|IONOS SE
87.98.175.85|OVH SAS
88.202.239.100|Free Pro SAS
89.116.247.119|Limestone Networks, Inc.
89.17.159.213|Hringdu ehf
89.233.105.6|HIVELOCITY, Inc.
89.38.131.38|MVPS LTD
89.58.6.169|netcup GmbH
9.9.9.10|Quad9
9.9.9.11|Quad9
9.9.9.12|Quad9
9.9.9.9|Quad9
91.198.156.20|Institute of Mathematics and Computer Science of University of Latvia
91.205.230.224|HostRoyale Technologies Pvt Ltd
91.217.86.4|Baumann Technologie GmbH
91.230.110.173|Contabo GmbH
92.223.109.19|EdgeCenter LLC Russia
92.255.74.20|LLC "Lenvendo-Soft"
92.63.32.2|MGK Rafal Chmielewski
92.63.32.3|MGK Rafal Chmielewski
93.55.192.228|Fastweb SpA
94.130.135.203|Hetzner Online GmbH
94.140.14.140:5443|AdGuard. Filter: Unfiltered
94.140.14.14:5443|AdGuard. Filter: Default
94.198.41.235|M247 Vienna
94.249.164.188|GHOSTnet GmbH
95.209.200.69|Hi3G Access AB
95.216.138.8|HETZNER-DC. Finland
95.216.161.62|Hetzner Online GmbH
95.216.184.241|Hetzner Online GmbH
95.216.209.165|BELNET
95.216.74.89|Hetzner Online GmbH
99.215.102.34.bc.googleusercontent.com|Google LLC
a-bld.sys-adm.in|Vdsina Hosting technology LTD
a.hdns.io|Mach Dilemma, LLC
a104-72-79-18.deploy.static.akamaitechnologies.com|Akamai International B.V.
a104-72-79-34.deploy.static.akamaitechnologies.com|Akamai International B.V.
a104-72-79-41.deploy.static.akamaitechnologies.com|Akamai International B.V.
a104-72-79-8.deploy.static.akamaitechnologies.com|Akamai International B.V.
a42b07755bff06f8f.awsglobalaccelerator.com|Amazon.com, Inc.
abbott.hubwoo.com|PROACTIS SA
abel.waringer-atg.de|netcup GmbH
access.snapon.com|Incapsula Inc
ada.openbld.net|DA International Group Ltd
adb-home.xaoimoon.fr|Free SAS
adblock.doh.mullvad.net|Mullvad VPN AB. Filter: Adblock
addguard.greenet.id|PT GREEN NET INDONESIA
addns.jpr.space|Greek Research and Technology Network S.A
adfree.usableprivacy.net|Hetzner Online GmbH
adg.geili.me|ShenZhen QiTeng technology company limited
adg.jnorton.us|Linode
adguard-dns.rouga.ch|Oracle Corporation
adguard.avdkishore.dev|Akamai Technologies, Inc. IN
adguard.beliefanx.cn|Aliyun Computing Co., LTD
adguard.bitteeinbyte.de|1&1 Telecom GmbH
adguard.dekonix.ru|Zomro B.V.
adguard.depieri.net|Vodafone Italia S.p.A.
adguard.dessoi.cloud|Cloudflare, Inc. (CDN)
adguard.ender.fr|OVH SAS
adguard.fresh-waffles.online|Host Europe GmbH
adguard.haneulo.com|Oracle Corporation KR
adguard.ihatemy.live|Hetzner Online GmbH
adguard.jfchenier.ca|Videotron Telecom Ltee
adguard.konikoni428.com|TYO Vultr
adguard.lege.despagne.net|Free SAS
adguard.piekacz.pl|Liberty Global B.V.
adguard.rowdyengeesje.nl|OVH SAS
adguard.shuting.idv.tw|Chunghwa Telecom Co., Ltd.
adguard1.jsanagustin.net|The Constant Company, LLC
adguard1.leadmon.net|PBW Communications, LLC
adl.adfilter.net|Network Presence
alekberg.net|MVPS LTD
ams01.ns.cbws.xyz|The Constant Company, LLC
ant.dns.qwer.pw|Oracle Corporation
anycast.dns.nextdns.io|nextdns, Inc
anycast.uncensoreddns.org|Thomas Steen Rasmussen
api.securenova.cf|Cloudflare, Inc.
apne1.dns.terumi.club|Amazon Technologies Inc.
aqua.el.erdc.dren.mil|DoD Network Information Center
armorrush.eu.org|Microsoft Corporation Japan
atlantic.dyn1.de|Atlantic.net, Inc.
au01.dns4me.net|Amazon Technologies Inc. (EC2)
au02.dns4me.net|Amazon Technologies Inc
ausyd2-doh-002.aaplimg.com|Apple Inc.
b-nxr-a02.isp.t-ipnet.de|Deutsche Telekom AG
bad.dns.ipbx4rent.com|Quad9
basic.rethinkdns.com|Cloudflare, Inc. (CDN)
bcandrade.ml|Oracle Corporation
bcfv.org|Cloudflare, Inc.
bdns.aeins.at|Hetzner Online GmbH
bg-sof-fe-01.swiftycdn.net|Melbikomas UAB
blackhole.myon.lu|netcup GmbH
bld.sys-adm.in|OVH SAS
blitz.ahadns.com|Cloudflare, Inc. (CDN)
blockerads.multimediaconcept.fr|Bouygues Telecom SA
browsebeta.snapon.com|AT&T Services, Inc.
c.hdns.io|Mach Dilemma, LLC
ca01.dns4me.net|Amazon Technologies Inc
ca02.dns4me.net|Amazon Technologies Inc
cache2.alidns.com|Hangzhou Alibaba Advertising Co.,Ltd. China.
cache2.trouble-free.net|Interserver, Inc
camilasyd1.zdns.pw|OVH SAS
carbon.junesta.net|The Constant Company, LLC
catalog.proactishosting.com|PROACTIS SA
catalog.uat.perfect.com|PROACTIS SA
chaos-system.de|Hetzner Online GmbH
chewbacca.meganerd.nl|The Constant Company, LLC
chrometr-discovery.snapon.com|AT&T Services, Inc.
clientdns3.softcom.net|Softcom Internet Communications, Inc.
cloud.tezoi.com|ProXad network / Free SA
cloudflare-dns.com|Cloudflare, Inc.
cloudns.bosco.ovh|OVH SAS
cloudyfalcon.com|DigitalOcean, LLC
cluster-1.gac.edu|Gustavus Adolphus College
cm-24-245-113-167.maxxsouthbb.net|BCI Mississippi Broadband,LLC
cns2-test.unet.nl|Eurofiber UNET
com.alidns.com|Hangzhou Alibaba Advertising Co.,Ltd. China.
cor-pure010.cns.2iij.net|Internet Initiative Japan Inc.
cor-pure011.cns.2iij.net|Internet Initiative Japan Inc.
cor-pure1601.cns.2iij.net|Internet Initiative Japan Inc.
cor-pure1610.cns.2iij.net|Internet Initiative Japan Inc.
cor-pure221.cns.2iij.net|Internet Initiative Japan Inc.
cor-pure91.cns.2iij.net|Internet Initiative Japan Inc.
cor-secure01.cns.2iij.net|Internet Initiative Japan Inc.
cor-secure011.cns.2iij.net|Internet Initiative Japan Inc.
cor-secure160.cns.2iij.net|Internet Initiative Japan Inc.
cor-secure1600.cns.2iij.net|Internet Initiative Japan Inc.
cor-secure161.cns.2iij.net|Internet Initiative Japan Inc.
cor-secure1611.cns.2iij.net|Internet Initiative Japan Inc.
cor-secure21.cns.2iij.net|Internet Initiative Japan Inc.
cor-secure22.cns.2iij.net|Internet Initiative Japan Inc.
cor-secure220.cns.2iij.net|Internet Initiative Japan Inc.
cor-secure911.cns.2iij.net|Internet Initiative Japan Inc.
cor171.cns.2iij.net|Internet Initiative Japan Inc.
corrin.geekwu.org|OVH SAS
cossxiu.ga|GMO Internet, Inc
cpc75651-alde5-2-0-cust54.6-2.cable.virginm.net|Virgin Media Limited
cpe-70-113-111-13.austin.res.rr.com|Charter Communications Inc
craft.vps.pw|DigitalOcean, LLC
crmtrain.snapon.com|AT&T Services, Inc.
csikx006029-eu-fr-ikdc2-z5-basic.ikexpress.com|Ikoula Net SAS
cv-dns-on-ca-1.cloudveil.org|DigitalOcean, LLC
cv-dns-on-ca-2.cloudveil.org|DigitalOcean, LLC
d-nxr-a02.isp.t-ipnet.de|Deutsche Telekom AG
d.toairs.com|Oracle Corporation JP
d4s.j1ang.top|The Constant Company, LLC
dart.kpsn.org|Hetzner Online GmbH
dashboard.erdc.dren.mil|DoD Network Information Center
de-dus01.adm.moulticast.net|Securebit AG
de.teradns.org|netcup GmbH
defra3-doh-003.aaplimg.com|Apple Inc.
demo.cor.fja.com|M-net Telekommunikations GmbH
demolight.cc-hubwoo.com|PROACTIS SA
dev.ahadns.net|HostHatch, LLC
dgca.myds.me|PT. TIME EXCELINDO
diagnosticlinkbeta.snapon.com|AT&T Services, Inc.
dns-2.zfn.uni-bremen.de|Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
dns-a.wizint.net|Merula Limited
dns-cache.switch.ch|SWITCH
dns-cache2.switch.ch|SWITCH
dns-doh-1.belnet.be|BELNET
dns-doh-2.belnet.be|BELNET
dns-doh-no-safe-search.dnsforfamily.com|DNS For Family (No Safe Search)
dns-doh.dnsforfamily.com|DNS For Family
dns-family.adguard.com|AdGuard Software Limited
dns-nyc.aaflalo.me|InMotion Hosting, Inc.
dns-public.ibakerserver.pt|Oracle Corporation FR
dns-unfiltered.adguard.com|AdGuard. Filter: Unfiltered
dns.0ooo.icu|Cloudflare, Inc. (CDN)
dns.403.online|Private network
dns.403.online|Private network RFC 1918
dns.52306.org|Oracle Corporation
dns.5ososea.com|netcup GmbH
dns.7vpn.com|The Constant Company, LLC
dns.886886886.xyz|XNNET LLC
dns.aa.net.uk|Andrews & Arnold Ltd
dns.adguard.com|AdGuard Software Limited
dns.alexc.hu|Deninet KFT
dns.alidns.com|Alibaba China. DNS. Warning: Don't use.
dns.apigw.online|PT JARINGANKU SARANA NUSANTARA
dns.artikel10.org|Artikel10 e.V.
dns.b33.space|OVH SAS
dns.b612.me|Shenzhen Tencent Computer Systems Company Limited. China
dns.bebasid.com|Alibaba China. (US) Technology Co., Ltd.
dns.belnet.be|Belnet Services
dns.bitdefender.net|Google Cloud
dns.blokada.org|Blocka AB
dns.brahma.world|Amazon.com, Inc. SE
dns.bw.i81.ru|Firstbyte Hosting
dns.chenu.ch|Oracle Corporation
dns.chromeina.top|Oracle Public Cloud
dns.circl.lu|Luxembourg House of Cybersecurity
dns.clanless.ovh|IONOS SE
dns.cloudflare.com|Cloudflare
dns.comss.one|EdgeCenter LLC
dns.cretu.xyz|Hosterion SRL
dns.cryptomize.com|HIVELOCITY, Inc.
dns.cynthialabs.net|Cloudflare, Inc. (CDN)
dns.d94.xyz|Oracle Public Cloud
dns.daw.dev|Hetzner Online GmbH
dns.dgea.fr|Cogent Communications
dns.digitale-gesellschaft.ch|CommunityRack.org Verein. Switzerland
dns.digitalsize.net|Hetzner Online GmbH
dns.dnswarden.com/adultfilter|Fly.io, Inc. Filter: Adult
dns.dnswarden.com|Fly.io, Inc.
dns.doh.best|OVH Singapore PTE. LTD
dns.east.comss.one|EdgeCenter LLC
dns.fancyorg.at|conova communications GmbH
dns.faze.dev|Hetzner Online GmbH
dns.flymc.cc|Shenzhen Tencent Computer Systems Company Limited
dns.freyja.pw|OVH SAS
dns.front1.hostux.net|GANDI SAS
dns.froth.zone|Hetzner Online GmbH
dns.futa.gg|Cloudflare, Inc.
dns.glorydns.com|Varnion Technology Semesta, PT
dns.gnb09.id|PT Dewa Bisnis Digital
dns.goldplate.org|Amazon Technologies Inc. (EC2)
dns.google.com|Google LLC
dns.google|Google LLC
dns.hanahira.dev|ADVANCED WIRELESS NETWORK COMPANY LIMITED
dns.hinet.net|Data Communication Business Group
dns.iamninja.ru|First Server Limited
dns.ikataruto.com|Hangzhou Alibaba Advertising Co.,Ltd. China.
dns.imaicool.com|Hangzhou Alibaba Advertising Co.,Ltd. China.
dns.invisv.com|Google Cloud
dns.itdept.pro|OVH SAS
dns.jinwoo.dev|Oracle Corporation KR
dns.joey01245.nl|Vultr Holdings LLC Amsterdam
dns.jstockley.com|CloudFlare, Inc. (CDN)
dns.kamilszczepanski.com|INEA sp. z o.o.
dns.kernel-error.de|netcup GmbH
dns.kescher.at|netcup GmbH
dns.keweon.center|Leaseweb Deutschland GmbH
dns.lars-lehmann.net|noris network AG
dns.lars-lehmann.net|oneCorp GmbH
dns.linkr.ninja|Oracle Corporation
dns.maolaohei.xyz|Shenzhen Tencent Computer Systems Company Limited
dns.meeo.win|Oracle Public Cloud
dns.mikeliu.org|Oracle Corporation JP
dns.molinero.dev|Hetzner Online GmbH
dns.moonssif.com|Oracle Corporation KR
dns.murgi.de|netcup GmbH
dns.muxinghe.cn|Shenzhen Tencent Computer Systems Company Limited
dns.mzrme.cn|Microsoft Corporation
dns.nas-server.ru|First Server Limited
dns.neubsi.at|Hetzner Online GmbH
dns.nextdns.io|nextdns, Inc
dns.nguyendn.com|Long Van Soft Solution JSC
dns.njal.la|ab stract SE
dns.novali.date|ColoCrossing
dns.novg.net|SCALEWAY S.A.S.
dns.nullgate.net|HOSTKEY B.V.
dns.opnsource.com.au|Oracle Corporation
dns.p55k.com|Akamai Technologies, Inc.
dns.paesa.es|Cloudflare, Inc. (CDN)
dns.panszelescik.pl|OVH SAS
dns.privado.ovh|SERVERD SAS
dns.privilab.net|IONOS SE
dns.quad9.net|Quad9
dns.rin.sh|Hetzner Online GmbH
dns.ronc.ru|Ilbit Telecom Ltd.
dns.rotunneling.net|Cloudflare, Inc. (CDN)
dns.sellan.fr|Free SAS
dns.sev.monster|RamNode LLC
dns.silen.org|Cloudflare, Inc. (CDN)
dns.silentlybren.com|Cloudflare, Inc. (CDN)
dns.simplylinux.ch|OVH SAS
dns.siry.de|Strato AG
dns.skrep.eu|The Infrastructure Group B.V.
dns.slinkyman.net|Mammoth Media Pty Ltd
dns.spil.co.id|CV Linkmedia Nusantara
dns.startupstack.tech|Akamai Technologies, Inc. US
dns.switch.ch|SWITCH
dns.syaifullah.com|The Mastermind Holding B.V.
dns.techcpu.net|The Constant Company, LLC
dns.telekom.de|Deutsche Telekom AG
dns.therifleman.name|Akamai Technologies, Inc. IN
dns.tipsy.coffee|Chunghwa Telecom Co., Ltd.
dns.tls-data.de|Ritter Technologie GmbH
dns.truong.fi|Hetzner Online GmbH FI
dns.twnic.tw|Taiwan Network Information Center
dns.udenscollege.nl|DataWeb B.V.
dns.youni.win|Oracle Corporation KR
dns.zfsystem.tech|Cambo Technology Company Ltd.
dns.zxi7.cn|Hangzhou Alibaba Advertising Co.,Ltd. China
dns0.btnet.de|Ritter Technologie GmbH
dns0.eu|GANDI SAS
dns01.flm9.net|Hetzner Online GmbH
dns01.klink.co.jp|SAKURA Internet Inc.
dns1-chi.securd.com|NetActuate, Inc
dns1-hkg.securd.com|NetActuate, Inc
dns1-iad.securd.com|NetActuate, Inc
dns1-lax.securd.com|NetActuate, Inc
dns1-lga.securd.com|NetActuate, Inc
dns1-lhr.securd.com|NetActuate, Inc
dns1-sea.securd.com|NetActuate, Inc
dns1-sin.securd.com|NetActuate, Inc
dns1.dnscrypt.ca:453|OVH SAS. CA
dns1.dnscrypt.ca|OVH SAS. CA
dns1.in-berlin.de|Individual Network Berlin e.V.
dns1.ipv6.dnscrypt.ca:453|OVH SAS. CA IPv6
dns1.ipv6.dnscrypt.ca|OVH SAS. CA IPv6
dns1.nextdns.io|Hetzner Online GmbH
dns1.nielsdb.be|Misaka Network, Inc
dns1.ord.hv.nominum.cloud|NetActuate, Inc
dns1.ryan-palmer.com|DigitalOcean, LLC. UK
dns1.sjc.hv.nominum.cloud|NetActuate, Inc
dns1.techeasy.org|Oracle Corporation JP
dns10.quad9.net|Quad9
dns11.quad9.net|Quad9
dns12.quad9.net|Quad9
dns1awi.infowest.com|InfoWest
dns2-cdg.securd.com|NetActuate, Inc
dns2-chi.securd.com|NetActuate, Inc
dns2-dfw.securd.com|NetActuate, Inc
dns2-iad.securd.com|NetActuate, Inc
dns2-lga.securd.com|NetActuate, Inc
dns2-lhr.securd.com|NetActuate, Inc
dns2-sea.securd.com|NetActuate, Inc
dns2.cbio.top|Oracle Corporation
dns2.digitale-gesellschaft.ch|CommunityRack.org Verein
dns2.dnscrypt.ca:453|OVH SAS. CA 2
dns2.dnscrypt.ca|OVH SAS. CA 2
dns2.iad3.hv.nominum.cloud|NetActuate, Inc
dns2.in-berlin.de|Individual Network Berlin e.V.
dns2.ipv6.dnscrypt.ca:453|OVH SAS. CA IPv6 2
dns2.ipv6.dnscrypt.ca|OVH SAS. CA IPv6 2
dns2.nextdns.io|Akenes SA
dns2.prisconetworks.com|Prisco Electronica S.L.
dns3.iad3.hv.nominum.cloud|NetActuate, Inc
dns3.ord.hv.nominum.cloud|NetActuate, Inc
dns3.sjc.hv.nominum.cloud|NetActuate, Inc
dns8.org|Vultr Holdings, LLC
dns9.quad9.net|Quad9
dnscache-32-2.mgk.pl|MGK Rafal Chmielewski
dnscache-32-3.mgk.pl|MGK Rafal Chmielewski
dnsforfamily.com|DNS For Family
dnsforge.de|Hetzner Online GmbH
dnsg.northmeadowmedical.com|Charter Communications Inc
dnslow.me|Microsoft Corporation
dnsnl-noads.alekberg.net|MVPS LTD
dnsnl.alekberg.net|MVPS LTD NL
dnsproxy.safebr.mcafee.com|Amazon.com, Inc.
dnsse-noads.alekberg.net|MVPS LTD. Filter: No Ads
dnsse.alekberg.net|MVPS LTD
dnstls.mobik.com|Mobik d.o.o.
dnx.niko-sem.com|Data Communication Business Group
dog.dns.qwer.pw|Oracle Corporation
doh-2.seby.io|OVH SAS. AU
doh-a.simpledns.xyz|1 Click Services Limited
doh-ipv6.crypto.sx|Crypto IPv6
doh-tel-alpha.mimecast.com|Mimecast Services Limited
doh.360.cn|Beijing Qihu Technology Company Limited. Warning: Don't use.
doh.apad.pro|Apad with Cloudflare CDN.
doh.apple.pch.net|WoodyNet, Inc.
